Specimen,Species,Clade,Age,CS,CS_logged,CS_percent_adult,Percent_binned,Discrete_age,PTA_age_group,Dev_strategy,Diet,Interfrontal,Fronto-parietal ,Interparietal ,Supraoccipito-parietal,Basispheno-presphenoid,Basispheno-basioccipital,Exoccipito-basioccipital,Exoccipito-squamosal,Exoccipito-supraoccipital,Alispheno-squamosal,Alispheno-orbitosphenoid,Orbitospheno-frontal,Fronto-squamosal,Parieto-squamosal,Supraoccipito-squamosal,Interpremaxillary,Intermaxillary,Premaxillo-maxillary (ventral),Interpalatine,Maxillo-palatine,Pterygo-palatine,Premaxillo-maxillary (facial),Premaxillo-nasal,Internasal,Maxillo-jugal,Maxillo-lacrimal,Naso-frontal,Lacrimo-frontal,Jugo-squamosal,Palato-alisphenoid,Palato-orbitosphenoid
Manis_tricuspis_NHMUK_91.363,Phataginus tricuspis,Placental,I,203.2322409,5.314349369,84.38876392,Group4,I,Group2,Semi-precocial,Insectivore,3,1,1,2,2,2,1,2,5,2,1,2,2,2,1,5,5,1,2,3,1,1,2,5,1,1,1,1,1,2,4
Manis_tricuspis_NHMUK_95.7.17.1,Phataginus tricuspis,Placental,I,167.6921359,5.122129774,69.63133411,Group3,I,Group2,Semi-precocial,Insectivore,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,5,1,2,2,2,1,1,2,2,1,1,1,1,1,1,3
Microcebus_murinus_DLC_7030f,Microcebus murinus,Placental,A,140.6334422,4.946156805,98.38397162,Group4,A,Group4,Semi-altricial,Frugivore,5,5,5,4,4,4,4,4,4,5,5,5,4,4,5,5,3,5,5,4,4,5,5,5,5,5,5,5,4,5,4
Microcebus_murinus_infant1,Microcebus murinus,Placental,I,89.30794711,4.492090477,62.47781748,Group3,I,Group2,Semi-altricial,Frugivore,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1
Microcebus_murinus_infant2,Microcebus murinus,Placental,I,123.0739094,4.812785064,86.0997201,Group4,I,Group2,Semi-altricial,Frugivore,3,3,2,1,1,1,4,4,3,4,3,3,3,4,1,4,3,1,1,3,3,2,4,4,3,3,3,5,3,2,1
Microcebus_murinus_juvenile,Microcebus murinus,Placental,I,142.9434489,4.96244909,100,Group4,SA,Group3,Semi-altricial,Frugivore,5,5,5,5,1,3,5,4,5,5,4,4,5,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,3,3
Monodelphis_domestica_10days,Monodelphis domestica,Marsupial,E,19.8529336,2.988351785,12.13896139,Group1,E,Group1,Super-altricial,Omnivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,3,1,1,1
Monodelphis_domestica_20days,Monodelphis domestica,Marsupial,E,50.96146191,3.931069698,31.16009105,Group2,E,Group1,Super-altricial,Omnivore,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,5,2,2,1,2,1,1,4,2,2,3,4,2,1,2,3
Monodelphis_domestica_22days,Monodelphis domestica,Marsupial,I,51.11679518,3.934113116,31.25506868,Group2,I,Group2,Super-altricial,Omnivore,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,2,1,2,1,1,4,4,2,2,3,2,1,1,1
Monodelphis_domestica_25days,Monodelphis domestica,Marsupial,I,59.60037222,4.087661819,36.44230278,Group2,I,Group2,Super-altricial,Omnivore,3,3,1,2,1,1,1,1,1,3,1,2,1,2,1,5,1,1,1,2,2,3,5,4,2,3,5,2,2,2,3
Monodelphis_domestica_30days,Monodelphis domestica,Marsupial,I,66.82122569,4.20202078,40.85745185,Group2,I,Group2,Super-altricial,Omnivore,4,3,1,2,1,1,1,1,1,2,1,2,1,3,1,5,3,2,3,2,3,3,5,5,3,4,5,4,3,2,4
Monodelphis_domestica_35days,Monodelphis domestica,Marsupial,I,74.13892012,4.305940632,45.33181378,Group2,I,Group2,Super-altricial,Omnivore,3,3,2,3,1,1,1,2,1,2,1,3,1,3,1,5,2,2,3,2,3,2,4,5,3,4,5,5,4,2,3
Monodelphis_domestica_6days,Monodelphis domestica,Marsupial,I,16.13896211,2.781236355,9.86807501,Group1,E,Group1,Super-altricial,Omnivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1
Monodelphis_domestica_TMM-M-7539_57days,Monodelphis domestica,Marsupial,I,96.72012241,4.571821472,59.13895927,Group3,I,Group2,Super-altricial,Omnivore,5,5,5,5,1,4,4,3,5,5,3,2,5,5,1,5,5,4,4,3,4,4,5,5,5,4,5,5,4,5,5
Monodelphis_domestica_TMM-M-7542_75days,Monodelphis domestica,Marsupial,I,108.2991896,4.684897671,66.21891292,Group3,I,Group2,Super-altricial,Omnivore,5,5,5,5,2,4,5,4,5,5,3,3,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
Monodelphis_domestica_TMM-M-8268_90days,Monodelphis domestica,Marsupial,I,130.3215978,4.870005225,79.684387,Group4,SA,Group3,Super-altricial,Omnivore,3,4,2,4,1,1,5,3,1,5,3,3,5,4,1,2,1,2,2,4,2,2,2,1,4,4,3,4,4,5,5
Monodelphis_domestica_TMM-M-8269_48days,Monodelphis domestica,Marsupial,I,91.71048879,4.518636754,56.07584778,Group3,I,Group2,Super-altricial,Omnivore,3,3,1,3,1,1,1,1,1,4,1,2,1,3,1,2,1,1,2,2,3,2,4,2,3,3,4,4,1,2,2
Monodelphis_domestica_TMM-M-9038_adult,Monodelphis domestica,Marsupial,A,163.5472176,5.097101741,100,Group4,A,Group4,Super-altricial,Omnivore,4,5,5,5,5,5,5,3,5,5,3,4,5,5,5,4,4,3,5,4,5,3,3,1,4,4,5,3,4,5,5
Monodelphis_domestica_UMUT-DK150007_15days,Monodelphis domestica,Marsupial,E,41.1187478,3.716464168,25.14182045,Group1,E,Group1,Super-altricial,Omnivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,1,1,1,2,1,1,3,2,2,1,1,1,1
Mus_musculus_14days_cfos_WT_1051,Mus musculus,Placental,I,67.85540875,4.217379099,77.47578068,Group4,I,Group2,Altricial,Omnivore,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,1,1,2,2,2,2,4,2,3,1,1,1,3,1
Mus_musculus_18days_cfos_WT_1044,Mus musculus,Placental,I,75.5517106,4.32481733,86.26324516,Group4,I,Group2,Altricial,Omnivore,3,3,2,2,1,1,3,1,2,4,2,2,5,3,1,3,2,2,1,3,3,3,2,4,3,4,2,1,1,2,2
Mus_musculus_25days_CD1_harddiet1,Mus musculus,Placental,I,78.3000037,4.36054765,89.40118445,Group4,I,Group2,Altricial,Omnivore,4,4,3,3,1,1,3,1,5,4,2,2,5,4,1,5,1,2,2,4,2,2,3,5,4,5,3,5,1,3,3
Mus_musculus_4.5moths_cfos_WT_1485,Mus musculus,Placental,A,87.58273638,4.472583905,100,Group4,A,Group4,Altricial,Omnivore,4,3,2,2,1,3,5,1,5,4,3,3,4,3,1,4,3,4,3,4,4,3,3,4,4,4,3,3,1,3,3
