Specimen,Species,Clade,Age,CS,CS_logged,CS_percent_adult,Percent_binned,Discrete_age,PTA_age_group,Dev_strategy,Diet,Interfrontal,Fronto-parietal ,Interparietal ,Supraoccipito-parietal,Basispheno-presphenoid,Basispheno-basioccipital,Exoccipito-basioccipital,Exoccipito-squamosal,Exoccipito-supraoccipital,Alispheno-squamosal,Alispheno-orbitosphenoid,Orbitospheno-frontal,Fronto-squamosal,Parieto-squamosal,Supraoccipito-squamosal,Interpremaxillary,Intermaxillary,Premaxillo-maxillary (ventral),Interpalatine,Maxillo-palatine,Pterygo-palatine,Premaxillo-maxillary (facial),Premaxillo-nasal,Internasal,Maxillo-jugal,Maxillo-lacrimal,Naso-frontal,Lacrimo-frontal,Jugo-squamosal,Palato-alisphenoid,Palato-orbitosphenoid
Dasypus_novemcinctus_z.134,Dasypus novemcinctus,Placental,A,362.7961659,5.89384115,100,Group4,A,Group4,Precocial,Insectivore,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dasypus_novemcinctus_ZMB_40641,Dasypus novemcinctus,Placental,E,121.6060749,4.800786926,33.51911799,Group2,E,Group1,Precocial,Insectivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1
Dasypus_novemcinctus_ZMB_40651,Dasypus novemcinctus,Placental,I,154.5796138,5.040709263,42.60784108,Group2,I,Group2,Precocial,Insectivore,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,3,5,5,5,3,3,5,5,5,3,3,3,3,2,5,3
Epomops_franqueti_NHMUK_48.283,Epomops franqueti,Placental,E,90.53150529,4.505697915,44.84582188,Group2,E,Group1,Altricial,Frugivore,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1
Epomops_franqueti_NHMUK_66.3499,Epomops franqueti,Placental,A,201.8727754,5.307637674,100,Group4,A,Group4,Altricial,Frugivore,5,5,5,5,5,3,5,3,5,4,5,4,1,5,3,1,5,1,5,5,3,3,1,5,5,5,5,5,5,3,4
Epomops_franqueti_NHMUK_68.353,Epomops franqueti,Placental,E,99.05032445,4.595628049,49.06571689,Group2,E,Group1,Altricial,Frugivore,4,4,3,3,2,1,1,2,1,2,1,1,1,4,2,1,3,1,2,3,1,3,4,5,2,3,3,4,2,1,2
Epomops_franqueti_NHMUK_69.198,Epomops franqueti,Placental,E,60.33189323,4.099860873,29.88609688,Group1,E,Group1,Altricial,Frugivore,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1
Epomops_franqueti_NHMUK_80.7.21.4,Epomops franqueti,Placental,I,137.4458672,4.923230146,68.08539038,Group3,I,Group2,Altricial,Frugivore,5,5,4,4,1,2,4,3,4,4,1,3,1,4,1,1,4,1,3,3,1,3,5,5,3,3,4,5,4,2,2
Felis_catus_NHMUK_19.7.7.3514,Felis catus,Placental,I,209.7426884,5.345881486,54.28662862,Group3,I,Group2,Semi-altricial,Carnivore,4,4,4,4,3,3,3,3,3,3,3,2,3,4,1,5,5,4,1,4,3,3,3,3,5,3,4,1,4,3,2
Felis_catus_NHMUK_1952.10.20.1,Felis catus,Placental,A,386.3616027,5.956773726,100,Group4,A,Group4,Semi-altricial,Carnivore,5,4,5,5,5,3,5,3,5,5,3,4,5,5,5,5,4,4,2,5,5,3,5,4,4,3,5,1,4,5,5
Felis_catus_NHMUK_1952.10.20.2,Felis catus,Placental,I,304.451877,5.718513035,78.79972411,Group4,SA,Group3,Semi-altricial,Carnivore,3,4,1,1,2,1,2,1,5,3,2,2,5,3,1,1,1,3,1,3,3,4,2,4,4,2,3,1,1,3,2
Felis_catus_NHMUK_1992.178,Felis catus,Placental,I,146.6345029,4.987943116,37.95265934,Group2,I,Group2,Semi-altricial,Carnivore,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Felis_catus_NHMUK_1992.184,Felis catus,Placental,I,141.1083057,4.949527721,36.52234195,Group2,I,Group2,Semi-altricial,Carnivore,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Felis_catus_NHMUK_1999.132,Felis catus,Placental,E,115.3200709,4.747711488,29.84770487,Group1,E,Group1,Semi-altricial,Carnivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Felis_catus_NHMUK_69.508,Felis catus,Placental,I,168.5718604,5.12736213,43.63059352,Group2,I,Group2,Semi-altricial,Carnivore,1,3,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2
Macroscelides_proboscideus_NHMUK_2.9.1.17,Macroscelides proboscideus,Placental,I,97.54496438,4.580313445,77.06624954,Group4,I,Group2,Precocial,Insectivore,4,4,3,4,5,1,3,1,1,4,3,3,5,5,1,5,4,3,4,2,1,2,4,5,5,3,2,3,2,3,4
Macroscelides_proboscideus_NHMUK_2.9.1.18,Macroscelides proboscideus,Placental,I,111.9634949,4.71817288,88.45773528,Group4,I,Group2,Precocial,Insectivore,4,4,5,5,5,1,5,5,1,5,5,5,5,5,1,5,5,4,5,4,3,4,5,5,5,5,5,5,2,5,5
Macroscelides_proboscideus_NHMUK_3.1.4.10,Macroscelides proboscideus,Placental,A,126.5728707,4.840818195,100,Group4,A,Group4,Precocial,Insectivore,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,3,5,5,5,4,3,5,5,4,5,5
Macroscelides_proboscideus_UMZC_48,Macroscelides proboscideus,Placental,E,73.27530861,4.294223698,57.89179641,Group3,E,Group1,Precocial,Insectivore,2,2,1,1,4,1,1,1,1,3,2,2,1,3,1,5,5,1,5,3,1,2,4,4,3,3,2,2,1,1,4
Macroscelides_proboscideus_UMZC_w3,Macroscelides proboscideus,Placental,I,112.0766263,4.719182801,88.54711573,Group4,I,Group2,Precocial,Insectivore,4,4,2,3,5,1,3,3,1,4,4,4,5,5,1,5,5,4,5,4,1,4,5,5,5,5,4,5,2,4,4
Macroscelides_proboscideus_UMZC_w39,Macroscelides proboscideus,Placental,I,121.0103747,4.795876283,95.60530154,Group4,SA,Group3,Precocial,Insectivore,2,4,1,5,5,4,5,5,5,4,2,4,1,5,5,5,4,3,3,4,3,2,2,3,3,3,5,5,1,5,5
Manis_tricuspis_NHMUK_1.8.9.108,Phataginus tricuspis,Placental,A,240.8285552,5.484085291,100,Group4,A,Group4,Semi-precocial,Insectivore,4,4,5,5,3,3,4,5,5,4,4,3,2,1,5,5,2,1,1,3,1,1,3,5,1,4,2,2,1,2,4
Manis_tricuspis_NHMUK_1999.102,Phataginus tricuspis,Placental,E,145.3193246,4.97893356,60.34140116,Group3,E,Group1,Semi-precocial,Insectivore,1,2,1,1,1,1,1,2,5,1,1,3,1,1,1,5,5,1,5,3,1,2,3,3,1,2,1,1,1,2,2
Manis_tricuspis_NHMUK_1999.93,Phataginus tricuspis,Placental,I,175.4496671,5.167352205,72.85251824,Group3,I,Group2,Semi-precocial,Insectivore,4,3,3,3,1,1,1,1,5,3,3,2,1,2,1,4,1,1,1,3,1,1,2,2,1,1,1,1,1,1,3
Manis_tricuspis_NHMUK_66.3562,Phataginus tricuspis,Placental,I,217.3550009,5.381531966,90.25300207,Group4,SA,Group3,Semi-precocial,Insectivore,2,1,2,3,2,2,2,2,5,3,3,3,1,1,1,5,5,1,4,4,1,1,3,4,1,1,1,1,1,3,4
Manis_tricuspis_NHMUK_9.1.4.66,Phataginus tricuspis,Placental,I,180.5671042,5.196102477,74.97744777,Group3,I,Group2,Semi-precocial,Insectivore,1,2,1,1,1,1,1,1,5,1,1,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2
