,closure_score_%,Species
Manis_tricuspis_NHMUK_91.363,27.41935484,Phataginus tricuspis
Manis_tricuspis_NHMUK_95.7.17.1,12.90322581,Phataginus tricuspis
Microcebus_murinus_DLC_7030f,88.70967742,Microcebus murinus
Microcebus_murinus_infant1,8.870967742,Microcebus murinus
Microcebus_murinus_infant2,43.5483871,Microcebus murinus
Microcebus_murinus_juvenile,86.29032258,Microcebus murinus
Monodelphis_domestica_10days,4.838709677,Monodelphis domestica
Monodelphis_domestica_20days,20.16129032,Monodelphis domestica
Monodelphis_domestica_22days,14.51612903,Monodelphis domestica
Monodelphis_domestica_25days,29.03225806,Monodelphis domestica
Monodelphis_domestica_30days,40.32258065,Monodelphis domestica
Monodelphis_domestica_35days,41.12903226,Monodelphis domestica
Monodelphis_domestica_6days,1.612903226,Monodelphis domestica
Monodelphis_domestica_TMM-M-7539_57days,79.83870968,Monodelphis domestica
Monodelphis_domestica_TMM-M-7542_75days,88.70967742,Monodelphis domestica
Monodelphis_domestica_TMM-M-8268_90days,49.19354839,Monodelphis domestica
Monodelphis_domestica_TMM-M-8269_48days,27.41935484,Monodelphis domestica
Monodelphis_domestica_TMM-M-9038_adult,80.64516129,Monodelphis domestica
Monodelphis_domestica_UMUT-DK150007_15days,8.870967742,Monodelphis domestica
Mus_musculus_14days_cfos_WT_1051,15.32258065,Mus musculus
Mus_musculus_18days_cfos_WT_1044,33.87096774,Mus musculus
Mus_musculus_25days_CD1_harddiet1,50,Mus musculus
Mus_musculus_4.5moths_cfos_WT_1485,53.22580645,Mus musculus
Mus_musculus_5wks_cfos_het_1038,59.67741935,Mus musculus
Mus_musculus_9wk_CD1_harddiet1,67.74193548,Mus musculus
Ornithorhynchus_anatinus_NHMUK_1859.5.30.13,62.90322581,Ornithorhynchus anatinus
Ornithorhynchus_anatinus_NHMUK_90.12.4.5,90.32258065,Ornithorhynchus anatinus
Ornithorhynchus_anatinus_NHMUK_90.12.4.6,80.64516129,Ornithorhynchus anatinus
Ornithorhynchus_anatinus_NHMUK_no_number,83.87096774,Ornithorhynchus anatinus
Phacochoerus_aethiopicus_NHMUK_66.425,81.4516129,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_66.428,70.16129032,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_66.517,70.96774194,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_66.523,71.77419355,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_66.807_01AUG1962_spec2,3.225806452,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_66.807_28AUG1962,17.74193548,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_66.808_A,6.451612903,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_66.811,44.35483871,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_71.2124,64.51612903,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_71.2125,58.06451613,Phacochoerus aethiopicus
Phacochoerus_aethiopicus_NHMUK_71.7.3.4,70.16129032,Phacochoerus aethiopicus
Phascolarctos_cincereus_KoalasBottomMiddle_spec2,28.22580645,Phascolarctos cincereus
Phascolarctos_cincereus_Pcin3-1_57days,0.806451613,Phascolarctos cincereus
Phascolarctos_cincereus_Pcin3-13_51days,3.225806452,Phascolarctos cincereus
Phascolarctos_cincereus_Pcin3-5_46days,0,Phascolarctos cincereus
Phascolarctos_cincereus_Pcin3-6_25days,0,Phascolarctos cincereus
