X,Specimen_name,Subclass,Major_clades,Species,Age,CS,CS_logged,CS_percent_adult,Discrete_age,Discrete_age_group,PTA_age_group,Dev_strategy,Diet,Diet_3_cats,Mars-plac,Coronoid
37,Dasypus_novemcinctus_MNHN_1910-409b,Eutheria,Xenarthra,Dasypus novemcinctus,I,169.7767179,5.13448415,46.7967233,I,Group2,Group2,Precocial,Insectivore,Faunivore,Placental,Small
38,Dasypus_novemcinctus_MNHN_1910-410,Eutheria,Xenarthra,Dasypus novemcinctus,I,163.8527501,5.098968159,45.16385935,I,Group2,Group2,Precocial,Insectivore,Faunivore,Placental,Small
39,Dasypus_novemcinctus_z.134,Eutheria,Xenarthra,Dasypus novemcinctus,A,362.7961659,5.89384115,100,A,Group4,Group4,Precocial,Insectivore,Faunivore,Placental,Small
40,Dasypus_novemcinctus_ZMB_40641,Eutheria,Xenarthra,Dasypus novemcinctus,E,121.6060749,4.800786926,33.51911799,E,Group1,Group1,Precocial,Insectivore,Faunivore,Placental,Small
41,Dasypus_novemcinctus_ZMB_40651,Eutheria,Xenarthra,Dasypus novemcinctus,I,154.5796138,5.040709263,42.60784108,I,Group2,Group2,Precocial,Insectivore,Faunivore,Placental,Small
42,Epomops_franqueti_NHMUK_48.283,Eutheria,Laurasiatheria,Epomops franqueti,E,90.53150529,4.505697915,44.84582188,E,Group1,Group1,Altricial,Frugivore,Herbivore,Placental,Medium
43,Epomops_franqueti_NHMUK_66.3499,Eutheria,Laurasiatheria,Epomops franqueti,A,201.8727754,5.307637674,100,A,Group4,Group4,Altricial,Frugivore,Herbivore,Placental,Medium
44,Epomops_franqueti_NHMUK_68.353,Eutheria,Laurasiatheria,Epomops franqueti,E,99.05032445,4.595628049,49.06571689,E,Group1,Group1,Altricial,Frugivore,Herbivore,Placental,Medium
45,Epomops_franqueti_NHMUK_69.198,Eutheria,Laurasiatheria,Epomops franqueti,E,60.33189323,4.099860873,29.88609688,E,Group1,Group1,Altricial,Frugivore,Herbivore,Placental,Medium
46,Epomops_franqueti_NHMUK_80.7.21.4,Eutheria,Laurasiatheria,Epomops franqueti,I,137.4458672,4.923230146,68.08539038,I,Group2,Group2,Altricial,Frugivore,Herbivore,Placental,Medium
47,Felis_catus_NHMUK_19.7.7.3514,Eutheria,Laurasiatheria,Felis catus,I,209.7426884,5.345881486,54.28662862,I,Group2,Group2,Semi-altricial,Carnivore,Faunivore,Placental,Very large
48,Felis_catus_NHMUK_1952.10.20.1,Eutheria,Laurasiatheria,Felis catus,A,386.3616027,5.956773726,100,A,Group4,Group4,Semi-altricial,Carnivore,Faunivore,Placental,Very large
