X,Specimen_name,Subclass,Major_clades,Species,Age,CS,CS_logged,CS_percent_adult,Discrete_age,Discrete_age_group,PTA_age_group,Dev_strategy,Diet,Diet_3_cats,Mars-plac,Coronoid
129,Setonix_brachyurus_NHMUK_1989.580,Metatheria,Marsupialia,Setonix brachyurus,E,88.77683437,4.486125742,27.28110596,E,Group1,Group1,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
130,Setonix_brachyurus_NHMUK_1989.581,Metatheria,Marsupialia,Setonix brachyurus,I,95.3851844,4.557923267,29.31185079,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
131,Setonix_brachyurus_NHMUK_1989.582,Metatheria,Marsupialia,Setonix brachyurus,I,119.1275327,4.780194623,36.60787035,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
132,Setonix_brachyurus_NHMUK_1989.583,Metatheria,Marsupialia,Setonix brachyurus,I,127.2781635,4.846374955,39.11255779,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
133,Setonix_brachyurus_NHMUK_1989.584,Metatheria,Marsupialia,Setonix brachyurus,I,137.7669596,4.925563559,42.33576303,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
134,Setonix_brachyurus_NHMUK_1989.585,Metatheria,Marsupialia,Setonix brachyurus,I,158.1120184,5.063303759,48.58779611,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
135,Setonix_brachyurus_NHMUK_1989.586,Metatheria,Marsupialia,Setonix brachyurus,I,164.749358,5.104425277,50.62744943,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
136,Setonix_brachyurus_NHMUK_1989.587,Metatheria,Marsupialia,Setonix brachyurus,I,174.0349133,5.15925593,53.48089898,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
137,Setonix_brachyurus_NHMUK_1989.588,Metatheria,Marsupialia,Setonix brachyurus,I,185.9511639,5.22548408,57.14276074,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
138,Setonix_brachyurus_NHMUK_1989.589,Metatheria,Marsupialia,Setonix brachyurus,I,176.5752179,5.173746949,54.26153415,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
139,Setonix_brachyurus_NHMUK_1989.590,Metatheria,Marsupialia,Setonix brachyurus,I,194.68452,5.271380402,59.82651957,SA,Group3,Group3,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
140,Setonix_brachyurus_NHMUK_1989.591,Metatheria,Marsupialia,Setonix brachyurus,I,189.8350186,5.246155372,58.33626863,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
141,Setonix_brachyurus_NHMUK_6.8.1.245,Metatheria,Marsupialia,Setonix brachyurus,A,325.4150858,5.785101554,100,A,Group4,Group4,Super-altricial,Herbivore,Herbivore,Marsupial,Very large
142,Sminthopsis_macroura_Smac54dPYA_No44_08_54days,Metatheria,Marsupialia,Sminthopsis macroura,I,75.42883544,4.323189635,76.27796501,I,Group2,Group2,Super-altricial,Insectivore,Faunivore,Marsupial,Very large
143,Sminthopsis_macroura_Smac64_9_09_64days,Metatheria,Marsupialia,Sminthopsis macroura,I,79.71220518,4.378422713,80.60955419,I,Group2,Group2,Super-altricial,Insectivore,Faunivore,Marsupial,Very large
144,Sminthopsis_macroura_SmacAdult33_08_adult,Metatheria,Marsupialia,Sminthopsis macroura,A,98.88679572,4.593975718,100,A,Group4,Group4,Super-altricial,Insectivore,Faunivore,Marsupial,Very large
145,Sminthopsis_macroura_Smacd19_19days,Metatheria,Marsupialia,Sminthopsis macroura,E,25.63149631,3.24382192,25.9200393,E,Group1,Group1,Super-altricial,Insectivore,Faunivore,Marsupial,Very large
146,Sminthopsis_macroura_Smacd22_22days,Metatheria,Marsupialia,Sminthopsis macroura,I,28.74398652,3.358428581,29.06756793,I,Group2,Group2,Super-altricial,Insectivore,Faunivore,Marsupial,Very large
147,Sminthopsis_macroura_Smacd31_31days,Metatheria,Marsupialia,Sminthopsis macroura,I,40.37301685,3.698161662,40.82751044,I,Group2,Group2,Super-altricial,Insectivore,Faunivore,Marsupial,Very large
148,Sminthopsis_macroura_SmacPYE74d_No14_08_74days,Metatheria,Marsupialia,Sminthopsis macroura,I,84.05905124,4.431519543,85.00533426,SA,Group3,Group3,Super-altricial,Insectivore,Faunivore,Marsupial,Very large
149,Talpa_europaea_NHMUK_19.4.57,Eutheria,Laurasiatheria,Talpa europaea,I,121.1665614,4.79716614,94.25352262,SA,Group3,Group3,Altricial,Insectivore,Faunivore,Placental,Very large
150,Talpa_europaea_NHMUK_1989.565,Eutheria,Laurasiatheria,Talpa europaea,A,128.5538811,4.856348125,100,A,Group4,Group4,Altricial,Insectivore,Faunivore,Placental,Very large
151,Talpa_europaea_NHMUK_57.366,Eutheria,Laurasiatheria,Talpa europaea,I,102.275169,4.627666916,79.5582118,I,Group2,Group2,Altricial,Insectivore,Faunivore,Placental,Very large
152,Talpa_europaea_NHMUK_57.367,Eutheria,Laurasiatheria,Talpa europaea,I,117.2339064,4.764171139,91.19437344,I,Group2,Group2,Altricial,Insectivore,Faunivore,Placental,Very large
153,Talpa_europaea_NHMUK_57.368,Eutheria,Laurasiatheria,Talpa europaea,I,82.41860964,4.411811257,64.1121131,I,Group2,Group2,Altricial,Insectivore,Faunivore,Placental,Very large
154,Talpa_europaea_NHMUK_57.370,Eutheria,Laurasiatheria,Talpa europaea,I,104.6363439,4.650490947,81.39493184,I,Group2,Group2,Altricial,Insectivore,Faunivore,Placental,Very large
155,Talpa_europaea_NHMUK_57.371,Eutheria,Laurasiatheria,Talpa europaea,I,82.50093976,4.412809684,64.17615637,I,Group2,Group2,Altricial,Insectivore,Faunivore,Placental,Very large
156,Talpa_europaea_NHMUK_57.374,Eutheria,Laurasiatheria,Talpa europaea,I,91.95530702,4.521302666,71.53055686,I,Group2,Group2,Altricial,Insectivore,Faunivore,Placental,Very large
157,Trichosaurus_vulpecula_TV1_adult,Metatheria,Marsupialia,Trichosaurus vulpecula,I,165.5857018,5.109488896,91.47028641,SA,Group3,Group3,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
158,Trichosaurus_vulpecula_TV2_100days,Metatheria,Marsupialia,Trichosaurus vulpecula,A,181.0267665,5.198644902,100,A,Group4,Group4,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
159,Trichosaurus_vulpecula_TV3_85days,Metatheria,Marsupialia,Trichosaurus vulpecula,I,146.4790607,4.986882488,80.91569193,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
160,Trichosaurus_vulpecula_TV6_35-42days,Metatheria,Marsupialia,Trichosaurus vulpecula,I,77.02370808,4.344113272,42.54824276,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
161,Trichosaurus_vulpecula_TV7_35days,Metatheria,Marsupialia,Trichosaurus vulpecula,I,65.96707918,4.189155817,36.44051123,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
162,Trichosaurus_vulpecula_TV8_68days,Metatheria,Marsupialia,Trichosaurus vulpecula,I,124.1163489,4.821219423,68.56242936,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
163,Trichosaurus_vulpecula_TVAC_14days,Metatheria,Marsupialia,Trichosaurus vulpecula,E,37.85725625,3.633822672,20.91251862,E,Group1,Group1,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
164,Trichosaurus_vulpecula_TVPYE_15days,Metatheria,Marsupialia,Trichosaurus vulpecula,E,50.46259574,3.921232383,27.87576485,E,Group1,Group1,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
165,Trichosaurus_vulpecula_TVPYK_21days,Metatheria,Marsupialia,Trichosaurus vulpecula,I,57.31125698,4.048497061,31.65899612,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
